,Cleaned_English_Tweets,overall_sentiment
47,dear friends subscribe shreetv news views plz watch comment share link full news link,positive
48,friends followers retweet tweet retweet list follow give follow back,positive
49,gopi ni ravan ga set cheyalsindhi atleast koncham negativity aina thaggedhi,negative
50,anantapur city weeks gross crs,negative
51,effect nitesh tiwaris ranbir kapoor alia bhatt exercise caution exclusive,neutral
52,joke allahabad high court films recent times hindu gods shown funny read,positive
53,sklm noonshow sunmax svc special show noonshow,positive
54,clear summingup debacle,positive
55,uttarandhra days share note gst,neutral
56,interested selling domain expected price million,positive
57,adipurush day collection takes dive sat,neutral
58,tmkc ullu bey bsdk ish chu iye fake dr follow rah ur game plan tweet,negative
60,usa weeks entered rd week total gross collection m,negative
61,wks days gajuwaka inoxs gross vzm inoxs gross sklm d gross,negative
62,sum couple lines film made sans bhaktibhaav wanted make superhero film avengers picked readymade script ramayan added nonsense dialogues n funny costumes lord ram guaranteed hit,neutral
64,actor bears accountability fiasco apologized essaying lord rama badly continues ride high popularity demanding movie series,negative
65,adipurush days nijam telugu hindi gross share including gst gross share,negative
67,teaser vs movie shots comparison ji body muscles dhoti leather chappal changed chappals disappears magically reappeared scenes,negative
68,countdown begins,neutral
69,indian express oped intellectual interpret ascertain limits community tolerance simple comrade rhetorical questions ahead draw,positive
71,unpalatable dialogues mocked hindus biggest symbol lord hanuman disappointing,negative
73,forget beauty watch mesmerised role lord ram,positive
74,top biggest bollywood openers,neutral
77,fuking give blockbuster film cms credits wife singing jobs surely fodi yall trapped truman show,neutral
78,hearing,neutral
82,amba ass ador perfect title pan milk,neutral
84,th highest opener heres list crs crs crs crs crs crs crs crs crs,neutral
86,showtime,neutral
88,bhimavaram town noon shows theatres theatres theatres kishore s,neutral
93,oka doubt share meeru d charges gross chesthunara ledha d charges minus chesi chesthunara endukante grosses chala difference undhi trackers trackers share similar,negative
94,oka doubt share meeru d charges gross chesthunara ledha d charges minus chesi chesthunara endukante grosses chala difference undhi trackers trackers share similar,negative
96,day box office collection day total india net worldwide,neutral
97,biggest bollywood debacle times faced severe public criticism protests hindu organisations disapproval cast condemnation team superhit ramayan serial threats theatre boycotts petitions halt screening scathing comments allahabad high court wrong variety reasons ranging makers dismissing audience feedback disregarding hindu sentiments displaying arrogance humility needed leaving minor player firefighting assuming political endorsement shape public opinion years industry interacted select group public balconies wave hands throw flying kiss arrogance despite track record poor quality plagiarised products worked till realisations dawned public recent years tide changed,negative
99,vocals add lot freshness song,neutral
102,god shown distorted hindu god ram witnessed bloodshed arson looting massacre rape short india reduced ashes progress made modi government pulled back square,negative
105,weeks worldwide collections telugu version,neutral
106,minted lakhs thursday day total collection stands crore domestic box office languages,neutral
107,minted lakhs thursday day total collection stands crore domestic box office languages,neutral
108,minted lakhs thursday day total collection stands crore domestic box office languages,neutral
110,sorry bolne sabko personally phone,negative
112,adipurushs ott release expedited clarity,positive
113,rumour started circulating attacked hackers leaked online original digital release,negative
114,streaming streaming hr ott tamil p available einthusan,neutral
116,chittoor town weeks gross,negative
118,friends watching theatres hd movie link enjoy family guys adipurush telugu hdrip p x hq clean aud gbmkvtorrent,positive
120,tirupati weeks gross inclu renigunta padma,negative
122,adipurush days nizam telugu hindi gross share including gst gross share,negative
123,movies shows till pm s s s s s,neutral
125,st monday nett crs india called disaster rating star rating movie idiot crsn calling boxoffice number,negative
127,top hindi openers,neutral
128,called proclaimed critics openly promoting privacy showing hd available comments section pure venom action loosers,neutral
131,days nizam bo gross share incl gst,negative
133,court creative freedoms balance read todays oped renuka bisht,positive
135,national chains day hindi,neutral
136,weeks chittoor town gross lkh,negative
137,court acts kangaroo court neighbourhood uncle firstly comparison uncalled decides version ramayan credible satisfactory movie creative freedom freedom expression,positive
138,arey,neutral
140,top hindi openers,neutral
142,tirupathi city weeks gross incl renigunta chandragiri,negative
143,th highest opener heres list crs crs crs crs crs crs crs crs crs,neutral
144,adipurush run fuel excellent opening weekend continued week collections fell,positive
145,chittoor town weeks gross lks,negative
146,giving big films prabhasextremely overrated actor limited acting skills rangesimilar tired expression hype train ensuring humongous disasters industry,negative
147,present form weak b b disasters salaar collect day combination kgf director movie panindia star mass day impossible movie teaser trailer creates hype possible,negative
148,court creative freedoms balance read todays oped renuka bisht,positive
149,ott release rentprime july,neutral
150,days apts shares including gst nizam ceeded ua east west guntur krishna nellore apts total share,positive
153,single teaser languages darlings follow follow back,neutral
155,onjune th,neutral
156,usa weeks entered rd week total gross collection m,negative
159,th highest opener heres list crs crs crs crs crs crs crs crs crs,neutral
162,hlo thathaa gud mrng update collections break hindi worry grandfather,negative
163,hd print watch film,neutral
168,days apts shares including gst nizam ceeded ua east west guntur krishna nellore apts total share,positive
169,day box office collection,neutral
172,showtime chala rojulaki malli national anthem vesaru ee theatre,neutral
173,lights dim screen alive showtime book tickets,positive
175,raked globally tv ott song rights worth called disaster made profits,negative
176,day vachina kay ee range vuntay vachina aa range vuntayo compare cheddama ra fake collections k tickets celebsfree ticket campaigns kind leki stunts prove pan india,neutral
177,orey om raut raghava origin koncham cheppura plz,neutral
180,hurt rubbish movie recreation fighting court law damaging public property creating ruckus honor religion promotes secularism respect,neutral
182,biggest crowd puller telugu hero,positive
184,recovery ep content pp talk ehook visuals indian cinema heman things,neutral
188,desisted watching netizens trollers dared watch reaction st century scifi ramayan movie crap dialogues bollywood masala flick,negative
190,naam movie chali sivay actor dum logone target movie gira kum kum screen presence accept rahta movie aajtak chalti,positive
191,edits recent times waiting chapter youtube,neutral
192,adipurush weeks days total world wide collections,neutral
193,vizianagaram town days gross,negative
194,weeks worldwide collections versions,neutral
195,individual trackers numbers matching,neutral
199,kannada version show count surpassed shows bengaluru city film kannada version gross,negative
202,ready exhilarating taste experience waiting indulge delightful combination films food tastebuds embark thrilling adventure,positive
204,disaster talk movies collected,negative
208,arava gallu hd print thiskocharu tamil hd print check,neutral
209,days apts shares including gst nizam ceeded ua east west guntur krishna nellore apts total share,positive
212,wish atleast read understood dialogues rubbish movie director lyricist realise shri ram god effects ram naam liberate peopleban,positive
214,om rauts earned lakh early estimates thursday earned crore,neutral
215,hindus offend n ramayan made total ravan character joke big villian single character movie justification og roles expected jai shri ram,neutral
216,note support bollywood trade,positive
218,fake hype banane paise tickets bookings bollywood trade walo accounts paise bhej chup rahene formula bollywood film,negative
220,upload hd telegram,neutral
224,cross ayyie days avuthundi telugu version,neutral
225,hc print ochesindhi roi,neutral
227,bhimavaram town th day gross theatres days town total gross,negative
228,telugu films hourly gross usa pm pst thursday loc loc loc occupancy ratio dominates,negative
229,krishna district days share worth share gst,positive
230,targeted vilification great sanatan dharmic characters happening aishe movie keliye rokd single voice bjpgangs court ruling,positive
231,full video jai shri ram watch cinemas,neutral
232,days apts shares including gst nizam ceeded ua east west guntur krishna nellore apts total share,positive
235,actual budget remunerations vfx work paid promotions including pre release event cost promotional strategy producers claiming budget budget officially flop,negative
236,rd week nizamhyderabad theatres list,neutral
239,seat hanuman publicity stunt team,neutral
240,due criticism film disaster box office coming ott,negative
241,vpc day gross total town days gross excluding special shows gross,negative
242,adipurushs ott release expedited clarity,positive
243,box office collection day takes box office positive mouth controversial epic plummets lows,neutral
245,ceeded share ante super movie talk ragane intellectuals underrated declared collect share ante pure rebel star mass anthe,positive
248,recently gave views portraying role goddess sita nitesh tiwaris,neutral
253,fame siddhant karnick defended film show gods cooler superheroes,positive
254,estimated domestic box office net june,neutral
255,content background song changechesi rls chesesaru,neutral
259,indians reacting opinions foolish nurtured developed country,neutral
260,days apts shares including gst nizam ceeded ua east west guntur krishna nellore apts total share,positive
261,worst core print amazon walu leak chesaru gani p version yellowish pallet inko week wait cheyandi,negative
262,visuals undi unte movie meeru icche rating entha collections entha occhevi,neutral
264,update today,neutral
265,national chains day collection india hindi,neutral
267,adipurush days nizam telugu hindi gross share including gst gross share,negative
270,sunday nizam ipodhi apts closing,neutral
271,streaming overseas ott follow exclusive ott streaming updates,neutral
273,days apts shares including gst nizam ceeded ua east west guntur krishna nellore apts total share,positive
274,rate acting,neutral
275,guess film critics watched religious audiance stands firm,negative
280,st half today avg waiting nd half,neutral
283,days nizam telugu hindi gross share including gst gross share,negative
288,dey vatiki comparison entra rerelease lu kuda add chesasav kadhara spy kuda avg talk weekends theaters star hero film chusthara ledha normal chinna hero films chusthara,positive
289,ww box office finally movie completes weeks run pan india star pulled miracle considering criticism movie collected week week day day day day day day day total,neutral
291,ekkada vasthunnai antav endhi ra theaters tappithe vera big movie ledhu talk valla week days pedhaga collections ravatledhu holidays weekends,positive
292,days nizam telugu hindi gross share including gst gross share,negative
293,adipurush days nizam telugu hindi gross share including gst gross share,negative
295,considering backlash,neutral
296,adipurush days nizam telugu hindi gross share including gst gross share,negative
297,days apts shares including gst nizam ceeded ua east west guntur krishna nellore apts total share,positive
299,box office collection day starrer performs miserably fails amass crore,negative
301,days nizam telugu hindi gross share including gst gross share,negative
302,weeks nizam collections gross share excellent talk,positive
303,days nizam telugu hindi gross share including gst gross share,negative
304,days apts shares including gst nizam ceeded ua east west guntur krishna nellore apts total share,positive
307,days nizam telugu hindi gross share including gst gross share,negative
309,days nizam telugu hindi gross share including gst gross share,negative
310,falls flat hit theatres starrer earns,neutral
313,opinion outcry terrible make india market saturated today tap global vistas young filmmaker nurturing ambition ram story netflix scared,negative
317,rtc x roads report f day total f day total day total,neutral
318,witnesses worsethanexpected week drop check th day bo collection,negative
320,show time yesterday pm time d d experience amazing,positive
321,biggest opportunity bollywood lost decade inception,neutral
325,rd week nizamhyderabad theatres list,neutral
327,worst epic adaptation watch ramanand sagars ramayana instead jai shree ram,negative
328,shows nagpur dikhao creativity weeks shows gayab,positive
330,statement bhim armys satpal tanwar bhim army chief chandrashekar azad mark dialogue delivery ravana n kumbhkaran moreoversatpal tanwar impressive satyapal malik,positive
333,read top news world entertainment lifestyle todays ht city todays epaper,positive
335,top tollywood movies usa premiere gross excellent opening usa box office,neutral
337,box office collection day prabhas film earns crore,neutral
338,box office collection day prabhas film manages crore satyaprem katha takes theatres,neutral
339,top tollywood movies usa premiere gross excellent opening usa box office,neutral
342,ott release tamil einthusan overseas,neutral
343,culturally incorrect largely rejected masses boxoffice collection figures totally misleading film recovered cost promotion cinestars pull reason mutilated,negative
344,mohini mm theater gajuwaka days gross,negative
347,friday morning devotional bhajan subscribe youtube channel,neutral
348,finally day,neutral
349,area sri lakshmi narasimha ac dts screen screen,neutral
353,om rauts adipurush faced significant controversy despite potential blockbuster film faced backlash groups raising questions hypocrisy surrounding artistic expression india,negative
354,watch times wonderful movie trailer back time super duper trooper stuff ng,positive
355,ott release tamil einthusan overseas,neutral
357,movies shows till am s s s s s,neutral
359,mysterious cubes left world live ai coming end summer,neutral
362,victory evil climax scene,negative
365,prabhas epic scene,neutral
366,sitas abduction scene,negative
367,prabhas evils fight scene,negative
368,beginnings coming theatre,neutral
370,locally internationally,neutral
371,mend pothole worship hanumanji left footprints,neutral
372,thattu town,neutral
373,abusing power evil ep,negative
375,voice opinion give opinion public figure man owns twitter censor negative tweets greater reviews quit movies stay home,negative
376,japanese animation morality values compromised,positive
377,tamil available einthusan weve premiere august month preponded july streaming july prime video,neutral
381,tamil hd version available einthusan overseas users,neutral
382,hindus boycott gadar boycotted citizen nri indian,negative
387,prabhas shots unnai indulo honesty felt gave lot product pilla pu director hurting sentiment direction wise felt pretty job,positive
389,allahabad slammed censor board adipurush makers asked teach future generations hindus tolerant test tolerance,neutral
390,prayagraj high court days,neutral
391,siddhant karnick plays vibhishan om rauts pop culture smartly pass stories gods,positive
394,believe crores movie crores spent movie biggest scam retrophils director producer intentionally degrade quality movie blue shoot parts blue remaining part om worst,negative
395,video achi lage share subscribe kardo,neutral
396,animation editor vision creativity entire team combined creative explanation maths started basics advanced pure brilliance full video min youtube,positive
397,proper research epic tale ramayan sad cinema shree ram disrespected,negative
402,continues dip box office,neutral
407,collection occupancy shows full houses cinemas cities,neutral
409,collection occupancy shows full houses cinemas cities,neutral
410,righteousness sole reason travel time cycle elements earth sun moon righteous path indicated lord shri ramachandra ikshvaku dynasty felt happy making movie,positive
413,day tracked collection india till pm eod gross lakh shows hourly live report,negative
414,couple months lot discussed ramayana lord rama simple question hinduisms oldest epic ramayana contains verses greatest stanza chalo interesting story,positive
415,masti magic making manch watch hardworking cuties share subscribe,positive
416,support bohra jativad pasmanda censor board cares marauders hindus rejected approved,neutral
418,top tollywood movies usa premiere gross excellent opening usa box office,neutral
419,cutout cuteness boring,neutral
420,biz national chains day hindi,neutral
421,recently gave views portraying role goddess sita nitesh tiwaris,neutral
423,trust ur reviews,positive
425,tadepalligudam th day gross days gross,negative
426,bhimavaram th day gross days gross,negative
428,release censor board give clean chit movie released law equal,negative
429,reasons hate movie love ramudi katha ramayana,neutral
430,shared regular insights stats despite movie meeting expectations appreciate efforts love cinema expecting teaser,positive
431,full video jai shri ram ee song movie undi unte level epic blockbuster watch full video god feel happy jai hanuman,positive
437,perfect india wrong hands,neutral
438,lanka vfx om raut shown,neutral
441,mess needed retain storyit surely crossed crs wat chance wasted terrible acting entire cast,negative
445,desperate attempt chirpy fool made money stop fake propaganda chirpy super duper flop languages rd disaster,negative
446,today movie understand negativity trust online reviews movie trust minded friendsfamilys word,positive
447,uk surprisingly lot seats booked place hindi films cancelled tomorrow review saturday,neutral
448,salute allahabad high court justice,positive
451,actor defends directorial amid controversy argues show gods cooler superheroes,negative
454,makers revisited dialogues ensure resonate core essence reflect theaters days,positive
455,deference opinion public audience f decided make alterations,neutral
459,pr spread wrong information actor declined plans make sequel,negative
461,dnt ppl giving positive reviews fr song worst vfx making hanuman literally puts mouth worst worst vanara sena vfx man describe words worst,negative
462,top indian movies biggest day boxoffice rrr crs crs kgf crs crs crs lands guess tag,neutral
463,performs expectations sixth film cross mark pic opening day biz national chains day hindi,neutral
464,difference judge whatsapp university graduate hate monger,negative
466,bhimavaram town th day town gross days total town gross,negative
469,sunna heh adipurush ott ahh heh record movie jaldi ott release heh,negative
471,bollywood left plot attract large viewers hinduism tolerant,positive
472,top indian movies biggest day boxoffice rrr crs crs kgf crs crs crs lands guess tag,neutral
477,full video jai shri ram watch full video book tickets cinemas,neutral
478,mohini mm theater gajuwaka day gross total days gross,negative
480,filmmakers earn money films businessthis back back break harmonyis joke allahabad high court row,neutral
481,song unveils magnificence lord hanumans unwavering devotion,positive
482,inview allahabadhighcourt remarks film adipurush team seek apology hindus especially khans desist presenting hindu devi devtas disrespecting manners,neutral
483,regretting nyt vth directional knowledge wouldve directed om vthin linesproper dialogueselevating ramusing prabhas screen presence fullestgiven budget opt reputed vfx company,negative
486,heartiest mocking ramayan started watching original ramanad sagar ramayan family encouraging mocking hindus democratically liberty,positive
488,orey nee yabba mottham team motthanni unfollow denguthunna chiraku denguthundi konde gaadu chesey yedava tricks,negative
489,collected nett india today,neutral
490,adipurush controversy mukesh khanna slams adipurush makers terrible joke ramayana video source indian express facebook page,negative
492,lord hanumans unwavering devotion,positive
495,days judges making unnecessary unrelated comments presentday regime promotion comments master case judge hearing,neutral
502,hindus united banning movies fall flat real issues,positive
503,court hindu tolerant hindus ignorant tolerant reason laughed pk showed actor shiv ji running life,positive
505,e song entra oka addiction aipoindhi morning nidra levagane okasari aina vinalsindhe travelling lunch break malli evening return ayyetappudu travelling elagaina times play awthune undhi mobile,neutral
510,hindi d late nigjht shows showing occupancy delhi ncr,neutral
513,god available youtube max reviews spreading negativity knowing movie impact movies boy,negative
516,bada gawar hindi sahitya padh bada murkh consciousness defend dialogues respect feel show middle gadhha,positive
517,expensive bollywood movies half budget jan h jun mar apr feb mar,neutral
520,top bollywood hindi movies half acc h h,neutral
521,top bollywood hindi net grosser half jan h jun mar apr,neutral
526,posted masti magic making manch watch entire episode streaming link bio,neutral
529,announcement loading violent man comming,negative
530,intha manchi song shoot cheyakunda edit cheskoni vocharu chi orey howle,negative
535,full video watch full video,neutral
542,lord hanumans unwavering devotion,positive
544,feel essence divinity flowing note song unveils magnificence lord hanumans unwavering devotion full video jai shri ram book tickets,positive
547,actor defends film check,neutral
549,destroyed faith forget forgive sense respect offair rest life,positive
550,aa review ichinodu thannul thini sagam daridram pattukellipoyadu aithe,neutral
551,bhimavaram town th day st shows gross theatres,negative
552,prabhas fans hit guy giving review,neutral
553,nenu mundhe cheppale choosina scenes ey edit chesi mohana benguthaadu ani edit baaga sync chesaadu,neutral
557,visuals eye feast,neutral
562,intro scene rehearsal extraordinary perfect execution failed,neutral
564,throwback promotions nice shirt,positive
565,hindi india net collection budget hindi week week total verdict flop,negative
568,rating acting movie,neutral
570,movie lovers enchanted captivating portrayal continues triumphant run captivating audiences enters successful nd week thunderous applause,positive
571,manojji twisted ramayana religion faced consequences trust request screw sita movie,positive
572,movie lovers enchanted captivating portrayal continues triumphant run captivating audiences enters successful nd week thunderous applause,positive
574,court courage speak truth,positive
575,allahabad high court criticizes adipurush creators raising concerns test tolerance link read,negative
577,movie lovers enchanted captivating portrayal continues triumphant run captivating audiences enters successful nd week thunderous applause,positive
578,movie lovers enchanted captivating portrayal continues triumphant run captivating audiences enters successful nd week thunderous applause,positive
579,wat real pan indian star bec hv faced difficult situations flop blkbster mvi trolls somany cases working hard day nyt eligible pan indian star deserve hw mny agreed,negative
580,movie lovers enchanted captivating portrayal continues triumphant run captivating audiences enters successful nd week thunderous applause,positive
581,immerse world book tickets boxoffice online,neutral
582,vijayawada single screens gross till st shows,negative
587,bjp side fight ram ayodhya bjp calm criticising ramayan sensor board accepted release movie hinduism card elections ban,negative
588,biggest fake movie collections indian cinema,negative
589,tonight ott release,neutral
594,delhi ncr night shows advance bookings,neutral
595,fastest k telugu teasers ntr mins mins mins mins ram charan mins mins malli ntvode break chestadu,negative
599,performance overseasnorth outright rejected performance overseasnorthkarnataka specific territories movies performance wise nizamgtnelloregtuagtrest coastal areas highly dependent wom,negative
600,team weekend plan chestey yt records gattiga vastai single language kabatti ni lepochu,neutral
604,ww box office week week day day day day day day total,neutral
607,ww box office week week day day day day day day total,neutral
608,ww box office week week day day day day day day total,neutral
609,ww box office week week day day day day day day total,neutral
611,ww box office week week day day day day day day total,neutral
613,great announcement,positive
615,vizag pm show soldout,neutral
619,shared regular insights stats despite movie meeting expectations appreciate efforts love cinema expecting teaser,positive
621,censor board overhauling stopped stupid petty reasons vinod ministry kaam rehne hume embarrass pade vajah,negative
624,disneyhotstar s tam tel kan mal hin july zee tam tel hin jiocinema eng shemaroome ben aha tel simplysouth tam overseas ott excepted follow,neutral
631,exclusive yesterday night signed movie offical announcement,neutral
632,reaction,neutral
633,due jealous continuously release films negativity reaches sky day create history comeback reached wait cry,negative
635,thammulu ready ready ayipondi records anni lepeddam fire storm,positive
639,hindi version finished today despite national holiday kindly note blockbuster hit social media selfproclaimed critics day release,negative
640,tonight,neutral
641,back s,neutral
643,controversy filthy depiction ramayan gods heroes voluntarily withdraw theatres duty acknowledge mistake stop blunder shame,negative
644,share collected movies nizam prabhas king nizam nizam kii okkade nawab,neutral
645,popping adventure tastebuds awaiting waiting binge favorite films food,positive
648,th day estimating gross ww,negative
659,top films captivated audiences set box office fire week,neutral
660,half notable telugu movies failed meet expectations left huge losses,negative
661,hanji btao adipurush valon bnaayi guys bnaani comment video credits respective owner video,positive
662,day bookings evenings shows places,neutral
663,finally today watched vfx top quality excellent acting disappointed especially dialogues pathetic story different valamikis open mind enjoy,neutral
667,hindus tolerant allahabad high court hope wish punishment makers,positive
668,adipurush days worldwide box office collections read,neutral
671,allahabad high court continues slam adipurush makers dares depict quran wrongfully link read,negative
672,follow,neutral
673,hyderabad city night shows fastfillingsoldout shows status recent releases,neutral
674,muslim friends watching beautiful divide country religion coz humanity gtgtgtgt religion,positive
679,hyderabad city night shows fastfillingsoldout shows status recent releases excellent occupancies releases,positive
681,top copied scenes adipurush scene link,neutral
682,show gods cooler actor siddhant karnick defence film,neutral
683,telugu song ani cheppi hindi lyrics thumbnail chesadu enti,neutral
684,movies shows till pm s s s s s,neutral
685,movies shows till pm s s s t s t s,neutral
686,movies shows till pm s s s s s,neutral
690,crap agrees crap anchors promoting caught pants anchors shamelessly reverse technic fool bjp bhakths beg stay loyal bjp,negative
692,bookings evening shows north major cities large screens ffso,neutral
693,check updated showtimes favourite blockbusters book tickets boxoffice online,neutral
694,atleast vfx,neutral
695,joke allahabad high court films recent times hindu gods shown funny read,positive
697,crs crs debut pan indian stardom gt th pan indian stardom divine factor back bahubali days tier kodakallara,positive
698,top indian movies biggest day boxoffice rrr crs crs kgf crs crs crs lands guess tag,neutral
700,testing tolerance level allahabad high court lambasts makers crass portrayal ramayana characters jai shree ram boycott halal,neutral
701,aa fight sequence tarvatha ee song pettunte theaters blast ayipoyevi asalu adhi ey fight sequence tavatha pettunte bagundedhi chepandi,negative
703,bhaiya humare favourite hoplease script chune inexperinced director kaam history religion represent,neutral
705,indian movies creativity backlash scanner,positive
708,list movies wish banned,negative
709,awesome movie excellent screenplay loved saif ravan,positive
713,watch till end,neutral
715,nizam share type talk considering ticket prices considering budget hyd tickets prices number blockbuster number negative movie carrier,positive
716,rtc x roads days collections aarugurupathivrathalu,neutral
717,big day india collections expecting crs gross today,negative
718,adipurush days ww box office collections,neutral
719,read ramayana wanted presentation silver screen failed alsothe factorwhy stardom crore,negative
720,bangalore evening shows hindi telugu shows ff house fulls missed big opportunity ur loss,neutral
723,success hype marketed north properly marketing create hype huge disaster opened big,positive
725,th day gajuwaka noon show matinee show srikakulam noon show matinee show vizag noon show matinee show,neutral
726,witness epic saga unfold cinemas book tickets,neutral
728,fan argues grossed c believes flower lifetime c psychiatric,negative
730,bhimavaram th day noon matinee gross,negative
731,literally dumb wing,negative
732,achieved clean hit hindi c net fair reviews movie hv easily achieved c nd time achieved hit status inspite negative agenda reach hindi impressive unheard south star,positive
733,nmc wanted recreate pg entrance exam result om raut mms wanted recreate ramayan result feel nerves wish create,positive
735,jai shree ram adipurush directtor message,neutral
736,make documentary depicting wrong things happen high court case,negative
737,tfi b fair indication ppl reception irrespective media reviewsratings bcoz telugu audience cinema lovers open watching movie north big influence reviews esp centers end c share telugu states recovery,positive
738,unfortunte country st poem called blunder pseudo intellectuals r taking ghoulish pleasure difference citizens india picturisation original shloka ss,positive
739,courts hell bent punishing manoj muntashir script writing pant utaar called chaddipurush onwards,negative
740,movie terms visuals vfx prabhu shree ram promote movie ramayan shree ram movie shown movie ramayan,positive
741,unfortunately forgot gods seek validation patronagewe digress pay dearly gods stay gtgt,neutral
744,budget highest profits,positive
746,nikhil sidhartha iswarya menon discuss film spy adipurush read,neutral
749,minutes walked away theatre complete disaster aspect,negative
752,inch mahamanav govt release question,neutral
754,google secret website check,neutral
755,vizag city collections matinee show sarat jagadamba sangam full sree kanya full sharada full sri melody full sri venkateswara full svc gokul sree rama sree leelamahal,neutral
756,toolkit ready years back clear instruction humanise raavan,positive
761,movies running chennai online ticket booking,neutral
764,ratings ticket hikes special screenings mighty budget failed cross worldwide gross pan india star,negative
765,school teacher famous quote act means anythingadipurush movie director twicebefore making film,neutral
767,ww box office week week day day day day day day total needed break,neutral
768,e year ithey,neutral
774,flat work worship realise makes compelling literary brilliance forced moral posturing writes,positive
775,bhimavaram town th day matinee gross theatres,negative
776,whats point rting sir ur team allowed odd poster troll sec clips viral ignoring materials r aesthically challenged compromised,negative
778,pull audience theatres reducing prices,neutral
779,whats happening country depict reality flee theyll promote story kerala story,positive
780,consider footfalls crossed half,neutral
781,movie facing religions language language shame,negative
782,top hindi movies,neutral
786,pull arao fans blockbuster talk vachindi pull arao gadi movies day nunchi hit talk vasthe flop chestharu vile adipurush dhaniki opposite cheseru aath galani minchina ep lk galu vilu,negative
788,tirupati ceeded centre evening show fast filling,neutral
794,ratings mighty budget failed cross worldwide gross pan india star,negative
798,gonna spoil ur industry content copy south content soo involve south examples front soo decision love watching allu arjun wake,positive
804,actor hurt dialogues film hindu,negative
806,tolerance hindus tested time fortunately hindus law hands allahabad high court pulls producers film hc questions central censor board fulfilled objectives,neutral
809,adipurush trailer promised treat movie turned disaster sandeep singh movie buff,neutral
812,patna show ff arey yerripuka guwahatipatnachandigarh atleast oka evening shows add cheyyandra ayya,positive
813,th time ive received email understand issues earth trouble create spread negative campaign,negative
814,copying bollywood hit time low,negative
815,requests pm ban film comparison boycotting trolling despite collections pure stardom,negative
816,shows filling amdist movies release weekend close ankuna konchem talk decent una aypo numbers vere la untunde,neutral
817,chandigarh show ff okka show ntra mustinakodakallara,positive
818,great reviews collections history worst boycott campaigns trolls memes stopped reviews,negative
820,slams makers movie tolerance hindu community put test make documentary quran depicting wrong things happen allahabad high court case,negative
825,show time d,neutral
827,namune president laga bhala hoore trailer inko samsya bhagwano ulte seedhe dilougues pass,neutral
828,grab combo catch playing today buy tickets counter call bookings,neutral
829,brand tollywood,neutral
830,biggest boycott campaign world r pls cand check proof worst boycott campaign youtube twitter instagram despite proved stardom,negative
832,series ni worldwide rerelease chesthe easy ga collection osthadi,positive
833,days weekend recovery huge pre release business svp days weekend recovery pre release business fake chesthe emosthaadhi ilaa fake success meet lu pettukovatam thappa,negative
834,fame siddhant karnick defended film show gods cooler superheroes,positive
835,ready ga undandi rebels ready ft tomorrow pm end dhaka chudandi,positive
836,rate acting,neutral
841,collected gross ww days,negative
842,hlp group show gratitude exceptional team hosted unforgettable movie night gesture recognition tireless dedication remarkable contributions,positive
845,testing tolerance level hindus make documentary quaran depicting wrong things happen allahabad high court lambasts makers crass portrayal characters,negative
847,actor lavi pajni played kumbhkaran films dialogues hurt religious sentiments,negative
849,latest picture recently mandodari,neutral
850,ww box office week week day day day day day day total needed break,neutral
